Parameters:
version     = V8
date_time   = 251103_102307
comp_time   = 0:03:56.651138
disk_type   = SG
torque_type = G23
log(M_SMBH) = 7.0
alpha       = 0.010
T           = 2.0e+06
gen         = 1g
N           = 10000
R_min       = 7.4e+10
R_max       = 3.0e+17
trap_rad    = 1.9e+14 

Data:
r_1       r_2       m_1       m_2       r_pu      t_pu      paired      migration_1      migration_2      Ng_1
1.239e+15 5.567e+14 3.765e+31 1.822e+31 1.956e+14 1.253e+13 1 type_I type_I 1
2.349e+12 2.366e+17 2.149e+31 1.670e+31 0.000e+00 0.000e+00 0 type_I type_I 1
2.989e+14 3.072e+15 3.696e+31 1.580e+31 0.000e+00 0.000e+00 0 type_I type_I 1
1.844e+17 1.034e+16 1.753e+31 1.336e+31 0.000e+00 0.000e+00 0 type_I type_II 1
8.293e+14 7.894e+13 3.693e+31 1.725e+31 1.966e+14 6.125e+12 1 type_I type_I 1
1.394e+11 2.777e+16 2.089e+31 1.676e+31 0.000e+00 0.000e+00 0 type_I type_I 1
1.407e+17 7.370e+12 1.971e+31 1.922e+31 0.000e+00 0.000e+00 0 type_I type_I 1
3.653e+16 1.870e+14 4.932e+31 3.735e+31 0.000e+00 0.000e+00 0 type_I type_I 1
1.371e+13 1.084e+16 3.739e+31 2.333e+31 0.000e+00 0.000e+00 0 type_I type_I 1
3.309e+11 3.455e+15 2.556e+31 1.824e+31 0.000e+00 0.000e+00 0 type_I type_I 1
1.682e+11 1.436e+15 3.820e+31 3.780e+31 0.000e+00 0.000e+00 0 type_I type_I 1
1.490e+13 2.899e+16 1.531e+31 1.494e+31 0.000e+00 0.000e+00 0 type_I type_I 1
2.121e+11 1.812e+17 3.769e+31 1.982e+31 0.000e+00 0.000e+00 0 type_I type_I 1
2.596e+14 1.873e+11 3.315e+31 1.234e+31 0.000e+00 0.000e+00 0 type_I type_I 1
1.586e+12 9.889e+13 4.001e+31 3.726e+31 0.000e+00 0.000e+00 0 type_I type_I 1
2.832e+14 4.779e+12 3.945e+31 3.572e+31 0.000e+00 0.000e+00 0 type_I type_I 1
1.891e+14 4.608e+11 4.385e+31 3.777e+31 0.000e+00 0.000e+00 0 type_I type_I 1
2.491e+15 8.038e+11 3.748e+31 2.116e+31 0.000e+00 0.000e+00 0 type_I type_I 1
2.799e+12 4.587e+12 3.772e+31 2.877e+31 2.432e+12 3.943e+13 1 type_I type_I 1
5.629e+16 2.963e+16 3.786e+31 2.083e+31 0.000e+00 0.000e+00 0 type_I type_I 1
9.131e+10 4.049e+16 3.765e+31 3.740e+31 0.000e+00 0.000e+00 0 type_I type_I 1
1.262e+16 1.974e+12 1.794e+31 1.468e+31 0.000e+00 0.000e+00 0 type_I type_I 1
2.613e+16 4.969e+16 3.501e+31 2.103e+31 0.000e+00 0.000e+00 0 type_I type_I 1
4.843e+16 2.770e+16 3.768e+31 1.481e+31 0.000e+00 0.000e+00 0 type_I type_I 1
2.544e+13 3.275e+16 3.731e+31 1.513e+31 0.000e+00 0.000e+00 0 type_I type_I 1
3.455e+11 3.812e+15 3.914e+31 3.877e+31 0.000e+00 0.000e+00 0 type_I type_I 1
2.591e+13 5.022e+13 3.792e+31 1.762e+31 1.587e+14 5.415e+11 1 type_I type_I 1
6.453e+11 1.896e+13 3.769e+31 1.974e+31 0.000e+00 0.000e+00 0 type_I type_I 1
1.759e+12 2.518e+14 4.586e+31 2.035e+31 0.000e+00 0.000e+00 0 type_I type_I 1
3.203e+15 1.742e+12 2.589e+31 1.755e+31 0.000e+00 0.000e+00 0 type_I type_I 1
4.104e+12 2.408e+14 3.364e+31 2.131e+31 0.000e+00 0.000e+00 0 type_I type_I 1
3.858e+15 4.214e+11 3.916e+31 3.637e+31 0.000e+00 0.000e+00 0 type_I type_I 1
5.604e+15 1.012e+14 3.715e+31 1.421e+31 0.000e+00 0.000e+00 0 type_I type_I 1
2.369e+17 5.549e+15 2.149e+31 2.059e+31 0.000e+00 0.000e+00 0 type_I type_I 1
3.294e+11 3.250e+14 3.674e+31 3.608e+31 0.000e+00 0.000e+00 0 type_I type_I 1
1.420e+12 1.367e+14 3.779e+31 2.148e+31 0.000e+00 0.000e+00 0 type_I type_I 1
1.352e+14 3.391e+11 2.082e+31 1.481e+31 0.000e+00 0.000e+00 0 type_I type_I 1
9.002e+10 1.445e+13 3.772e+31 1.545e+31 0.000e+00 0.000e+00 0 type_I type_I 1
2.320e+11 6.581e+12 4.225e+31 3.296e+31 0.000e+00 0.000e+00 0 type_I type_I 1
9.289e+13 3.816e+12 4.541e+31 4.435e+31 0.000e+00 0.000e+00 0 type_I type_I 1
1.306e+12 1.448e+14 3.310e+31 2.084e+31 0.000e+00 0.000e+00 0 type_I type_I 1
1.230e+15 1.347e+14 3.773e+31 1.837e+31 1.953e+14 1.235e+13 1 type_I type_I 1
3.487e+16 2.094e+11 3.843e+31 1.864e+31 0.000e+00 0.000e+00 0 type_I type_I 1
1.292e+15 1.157e+13 3.570e+31 3.313e+31 1.942e+14 1.433e+13 1 type_I type_I 1
6.360e+11 7.577e+13 3.764e+31 3.707e+31 0.000e+00 0.000e+00 0 type_I type_I 1
3.888e+15 4.622e+15 3.410e+31 1.284e+31 0.000e+00 0.000e+00 0 type_I type_I 1
1.821e+16 1.649e+17 1.608e+31 1.472e+31 0.000e+00 0.000e+00 0 type_I type_I 1
2.231e+12 6.490e+16 3.472e+31 1.601e+31 0.000e+00 0.000e+00 0 type_I type_I 1
1.486e+16 1.679e+14 3.767e+31 1.360e+31 0.000e+00 0.000e+00 0 type_I type_I 1
3.962e+11 1.161e+15 1.587e+31 1.183e+31 0.000e+00 0.000e+00 0 type_I type_I 1
1.602e+13 5.998e+16 4.096e+31 3.733e+31 0.000e+00 0.000e+00 0 type_I type_I 1
1.230e+14 8.082e+16 1.501e+31 1.278e+31 0.000e+00 0.000e+00 0 type_I type_I 1
2.581e+13 7.869e+11 3.815e+31 1.472e+31 0.000e+00 0.000e+00 0 type_I type_I 1
3.551e+16 1.933e+12 3.916e+31 3.750e+31 0.000e+00 0.000e+00 0 type_I type_I 1
2.865e+17 2.097e+17 3.000e+31 1.370e+31 0.000e+00 0.000e+00 0 type_I type_I 1
